,Names,2022,2021,2019
0,MILANO CENTRALE,63167,88102,108926
1,MILANO LAMBRATE,80775,79646,84364
2,MILANO PORTA GARIBALDI,15872,69895,98522
3,MILANO VILLAPIZZONE,59246,2395,2373
4,MONZA,44313,75860,43954
5,RHO FIERA,55363,94680,41057
6,SESTO S.GIOVANNI,32759,0,115339
7,TREVIGLIO,55056,48284,57085
