,Names,2022,2021,2019
0,CARNATE USMATE,0.0162,0.0164,0.021
1,MILANO CENTRALE,0.0164,0.0175,0.0212
2,MILANO GRECO PIRELLI,0.0164,0.0173,0.0205
3,MILANO LAMBRATE,0.0163,0.0167,0.0205
4,MILANO PORTA GARIBALDI,0.0159,0.0172,0.0212
5,MILANO ROGOREDO,0.0163,0.0174,0.0209
6,PARABIAGO,0.016,0.0173,0.021
7,RHO FIERA,0.0161,0.0174,0.0207
8,SESTO S.GIOVANNI,0.0164,0.0175,0.0212
