,Names,2022,2021,2019
0,BRESCIA,10,8,9
1,GALLARATE,9,9,9
2,LECCO,8,9,10
3,MILANO LAMBRATE,9,9,9
4,MONZA,10,10,9
5,SARONNO,10,8,8
