,Names,2022,2021,2019
0,MILANO BOVISA FNM,738,602,725
1,MILANO DATEO,347,284,394
2,MILANO DOMODOSSOLA,348,338,355
3,MILANO GRECO PIRELLI,332,299,352
4,MILANO LANCETTI,346,284,396
5,MILANO PORTA GARIBALDI SOTTERRANEA,347,284,396
6,MILANO PORTA VENEZIA,347,284,397
7,MONZA,352,315,370
8,SARONNO,527,396,451
