,Names,2022,2021,2019
0,MILANO BOVISA FNM,733,545,686
1,MILANO DATEO,348,284,397
2,MILANO DOMODOSSOLA,348,338,355
3,MILANO GRECO PIRELLI,329,299,351
4,MILANO PORTA VENEZIA,347,284,396
5,MILANO PORTA VITTORIA,347,284,396
6,MONZA,352,315,369
7,SARONNO,532,354,452
