,Names,2022,2021,2019
0,MILANO CENTRALE,0.1961,0.1828,0.1957
1,MILANO GRECO PIRELLI,0.1829,0.17,0.1806
2,MILANO LAMBRATE,0.1919,0.1776,0.1875
3,MILANO PORTA GARIBALDI,0.185,0.1717,0.18
4,MILANO ROGOREDO,0.1874,0.1751,0.187
