service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
178462614372378,1,1,1,1,1,1,1,20220111,20220612
178465214372399,1,1,1,1,1,1,1,20220111,20220612
178457714372330,1,1,1,1,1,1,1,20220111,20220612
178457914372332,1,1,1,1,1,1,1,20220111,20220612
178472314372443,1,1,1,1,1,1,1,20220111,20220612
178472414372444,1,1,1,1,1,1,1,20220111,20220612
178478614372484,1,1,1,1,1,1,1,20220111,20220612
178469314372424,1,1,1,1,1,1,1,20220111,20220612
178469714372428,1,1,1,1,1,1,1,20220111,20220612
178488014372555,1,1,1,1,1,1,1,20220111,20220612
178452214372275,1,1,1,1,1,1,1,20220111,20220612
178503514376326,1,1,1,1,1,1,1,20220111,20220612
178356714371479,1,1,1,1,1,1,1,20220111,20220612
178486714372542,1,1,1,1,1,0,0,20220111,20220612
178487014372545,1,1,1,1,1,1,1,20220111,20220612
178170314372281,1,1,1,1,1,0,0,20220111,20220612
178452914372282,1,1,1,1,1,1,1,20220111,20220612
178490214372573,1,1,1,1,1,1,1,20220111,20220612
178492514372591,1,1,1,1,1,1,0,20220111,20220612
178461514372368,1,1,1,1,1,1,1,20220111,20220612
178454614372300,1,1,1,1,1,1,1,20220111,20220612
178454814372301,1,1,1,1,1,1,1,20220111,20220612
178473314372451,1,1,1,1,1,1,1,20220111,20220612
178466814372411,1,1,1,1,1,0,0,20220111,20220612
178455014372303,1,1,1,1,1,1,1,20220111,20220612
178461914372371,1,1,1,1,1,1,1,20220111,20220612
178462014372372,1,1,1,1,1,1,1,20220111,20220612
178462214372374,1,1,1,1,1,1,1,20220111,20220612
178464214372390,1,1,1,1,1,1,1,20220111,20220612
178468614372418,1,1,1,1,1,1,1,20220111,20220612
178471614372438,1,1,1,1,1,1,1,20220111,20220612
178238114370540,1,1,1,1,1,1,1,20220111,20220612
178200714370234,1,1,1,1,1,1,1,20220111,20220612
178200814370235,1,1,1,1,1,1,1,20220111,20220612
178201114370238,1,1,1,1,1,1,1,20220111,20220612
178238714370545,1,1,1,1,1,1,1,20220111,20220612
178240714370562,1,1,1,1,1,1,1,20220111,20220612
