service_id,date,exception_type
94862811449219,20191228,2
94862811449219,20191229,2
94862811449219,20191230,2
94862811449219,20191231,2
94864811447430,20191227,2
94864811447430,20191228,2
94864811447430,20191229,2
94864811447430,20191230,2
94864811447430,20191231,2
94897311443309,20191227,2
94897311443309,20191228,2
94897311443309,20191229,2
94897311443309,20191230,2
94897311443309,20191231,2
94811611461409,20191227,2
94811611461409,20191228,2
94811611461409,20191229,2
94811611461409,20191230,2
94811611461409,20191231,2
94826211444390,20191227,2
94826211444390,20191228,2
94826211444390,20191229,2
94826211444390,20191230,2
94826211444390,20191231,2
94871611444724,20191227,2
94871611444724,20191228,2
94871611444724,20191229,2
94871611444724,20191230,2
94871611444724,20191231,2
94928811446985,20191227,2
94928811446985,20191228,2
94928811446985,20191229,2
94928811446985,20191230,2
94928811446985,20191231,2
94839011446247,20191227,2
94839011446247,20191228,2
94839011446247,20191229,2
94839011446247,20191230,2
94839011446247,20191231,2
94811611461410,20191227,2
94811611461410,20191228,2
94811611461410,20191229,2
94811611461410,20191230,2
94811611461410,20191231,2
94818211441273,20191227,2
94818211441273,20191228,2
94818211441273,20191229,2
94818211441273,20191230,2
94818211441273,20191231,2
94754711507372,20191215,2
94754711507372,20191222,2
94754711507372,20191229,2
94754711507372,20200105,2
94754711507372,20200112,2
94754711507372,20200119,2
94754711507372,20200126,2
94754711507372,20200202,2
94754711507372,20200209,2
94754711507372,20200216,2
94754711507372,20200223,2
94754711507372,20200301,2
94754711507372,20200308,2
94754711507372,20200315,2
94754711507372,20200322,2
94754711507372,20200329,2
94754711507372,20200405,2
94754711507372,20200412,2
94754711507372,20200419,2
94754711507372,20200426,2
94754711507372,20200503,2
94754711507372,20200510,2
94754711507372,20200517,2
94754711507372,20200524,2
94754711507372,20200531,2
94754711507372,20200607,2
94754711507372,20200614,2
94754711507372,20200621,2
94754711507372,20200628,2
94754711507372,20200705,2
94754711507372,20200712,2
94754711507372,20200719,2
94754711507372,20200726,2
94754711507372,20200802,2
94754711507372,20200809,2
94754711507372,20200816,2
94754711507372,20200823,2
94754711507372,20200830,2
94754711507372,20200906,2
94754711507372,20200913,2
94754711507372,20200920,2
94754711507372,20200927,2
94754711507372,20201004,2
94754711507372,20201011,2
