service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
94608111490310,1,1,1,1,1,1,1,20191201,20200701
94614011491023,1,1,1,1,1,1,1,20191201,20200701
94576211486198,1,1,1,1,1,1,1,20191201,20200701
94576511486222,1,1,1,1,1,1,1,20191201,20200701
94608411490355,1,1,1,1,1,1,1,20191201,20200701
94581511486865,1,1,1,1,1,1,1,20191201,20200701
94614411491047,1,1,1,1,1,1,1,20191201,20200701
94651111495244,1,1,1,1,1,1,1,20191201,20200701
94615511491159,1,1,1,1,1,1,1,20191201,20200701
94577011486274,1,1,1,1,1,1,1,20191201,20200701
94737711505089,1,1,1,1,1,1,1,20191201,20200701
94616411491247,1,1,1,1,1,1,1,20191201,20200701
94577711486379,1,1,1,1,1,1,1,20191201,20200701
94616611491277,1,1,1,1,1,1,1,20191201,20200701
94573311485770,1,1,1,1,1,1,1,20191201,20200701
94667011497124,1,1,1,1,1,1,1,20191201,20200701
94667111497134,1,1,1,1,1,1,1,20191201,20200701
94685511498924,1,1,1,1,1,1,1,20191201,20200701
94610611490598,1,1,1,1,1,1,1,20191201,20200701
94692511499829,1,1,1,1,1,1,1,20191201,20200701
94700311500777,1,1,1,1,1,1,1,20191201,20200701
94720711502785,1,1,1,1,1,1,1,20191201,20200701
94573111485740,1,1,1,1,1,1,1,20191201,20200701
94580311486703,1,1,1,1,1,1,1,20191201,20200701
94606611490110,1,1,1,1,1,1,1,20191201,20200701
94600911489411,1,1,1,1,1,1,1,20191201,20200701
94598211489138,1,1,1,1,1,1,1,20191201,20200701
94634411493301,1,1,1,1,1,1,1,20191201,20200701
94650111495109,1,1,1,1,1,1,1,20191201,20200701
94630011492806,1,1,1,1,1,1,1,20191201,20200701
94630111492816,1,1,1,1,1,1,1,20191201,20200701
94636511493516,1,1,1,1,1,1,1,20191201,20200701
94602311489520,1,1,1,1,1,1,1,20191201,20200701
94650611495184,1,1,1,1,1,1,1,20191201,20200701
94603911489712,1,1,1,1,1,1,1,20191201,20200701
94650911495222,1,1,1,1,1,1,1,20191201,20200701
94638111493659,1,1,1,1,1,1,1,20191201,20200701
94604011489727,1,1,1,1,1,1,1,20191201,20200701
94604711489832,1,1,1,1,1,1,1,20191201,20200701
94605211489907,1,1,1,1,1,1,1,20191201,20200701
94638811493737,1,1,1,1,1,1,1,20191201,20200701
94605611489967,1,1,1,1,1,1,1,20191201,20200701
94814611461917,1,1,1,1,1,1,1,20191201,20200701
94859611444373,1,1,1,1,1,0,0,20191201,20200701
94826211444392,1,1,1,1,1,0,0,20191201,20200701
94628411492656,1,1,1,1,1,1,1,20191201,20200701
94640511493948,1,1,1,1,1,1,1,20191201,20200701
94640711493978,1,1,1,1,1,1,1,20191201,20200701
94641511494043,1,1,1,1,1,1,1,20191201,20200701
94641611494053,1,1,1,1,1,1,1,20191201,20200701
94641911494073,1,1,1,1,1,1,1,20191201,20200701
94642011494083,1,1,1,1,1,1,1,20191201,20200701
94643911494394,1,1,1,1,1,1,1,20191201,20200701
94644011494404,1,1,1,1,1,1,1,20191201,20200701
94631011492911,1,1,1,1,1,1,1,20191201,20200701
94631111492921,1,1,1,1,1,1,1,20191201,20200701
94645911494643,1,1,1,1,1,1,1,20191201,20200701
94631311492941,1,1,1,1,1,1,1,20191201,20200701
94631511492961,1,1,1,1,1,1,1,20191201,20200701
