,c,N,avg_degree,avg_sht_path,assort,avg_betweeness,avg_clustering,S
0,0.0,428,5.481308411214953,9.527041776129963,0.2282961704369721,3632.5397196261692,0.22216547497446373,100.0
1,1.2,423,5.182033096926714,15.610891489409493,0.10427097518385989,6151.219858156029,0.21346153846153845,98.83177570093457
2,2.3,418,4.980861244019139,18.862735223959714,0.11058419105201871,4837.0406698564575,0.21382289416846653,79.90654205607477
3,3.5,413,4.920096852300242,10.412852441217385,0.12912117658399458,1343.4624697336558,0.21476510067114093,51.16822429906542
4,4.7,408,4.622549019607843,10.52778599970401,0.13707309790320646,631.1691176470588,0.22252747252747251,31.542056074766357
5,5.8,403,4.421836228287841,10.14749194661758,0.09723449261861354,394.59057071960297,0.20344456404736275,31.308411214953267
6,7.0,398,4.261306532663316,6.5134838851129135,0.11980981882055068,126.36683417085428,0.2140221402214022,12.149532710280374
7,8.2,393,4.142493638676845,5.437464549064095,0.14256421004270073,79.62595419847328,0.21428571428571427,12.149532710280374
8,9.3,388,4.036082474226804,4.785820895522388,0.14210201670388745,52.29896907216495,0.22779369627507162,8.177570093457943
9,10.5,383,3.968668407310705,4.495125052988555,0.17445372388286054,43.054830287206265,0.22658610271903323,6.775700934579438
10,11.7,378,3.9047619047619047,3.9021361152508693,0.18006351396957912,30.91005291005291,0.2260596546310832,6.775700934579438
11,12.9,373,3.8552278820375334,3.492368569813454,0.18379990682963657,23.640750670241285,0.2262295081967213,6.775700934579438
12,14.0,368,3.8260869565217392,3.2296387017758725,0.1833427954428233,19.78804347826087,0.22765598650927488,6.775700934579438
13,15.2,363,3.6914600550964187,3.029218407596786,0.22092963019989598,15.305785123966942,0.2254335260115607,5.373831775700935
14,16.4,358,3.5921787709497206,2.7987315010570826,0.21895645841653402,11.88268156424581,0.2356687898089172,5.373831775700935
15,17.5,353,3.461756373937677,2.6708799222168205,0.17215196311415257,9.736543909348441,0.22962962962962963,3.7383177570093453
16,18.7,348,3.3160919540229883,2.4701795020266357,0.13161951881603853,7.295977011494253,0.22674418604651161,2.570093457943925
17,19.9,343,3.1895043731778427,2.275767918088737,0.09611003247185358,5.448979591836735,0.2054794520547945,2.336448598130841
18,21.0,338,3.100591715976331,2.1019607843137256,0.07913215939329342,4.15680473372781,0.22556390977443608,2.336448598130841
19,22.2,333,3.039039039039039,1.986159169550173,0.054689165321377006,3.4234234234234235,0.22709163346613545,2.336448598130841
20,23.4,328,2.9634146341463414,1.8525703200775945,0.04841863532143689,2.6798780487804876,0.2425531914893617,1.8691588785046727
21,24.5,323,2.873065015479876,1.7687366167023555,0.06555424819150041,2.222910216718266,0.24056603773584906,1.8691588785046727
22,25.7,318,2.792452830188679,1.6785714285714286,0.1006869750260605,1.7924528301886793,0.25757575757575757,1.8691588785046727
23,26.9,313,2.68370607028754,1.6211920529801325,0.08547851061304255,1.4984025559105432,0.2616279069767442,1.8691588785046727
24,28.0,308,2.5844155844155843,1.5732946298984034,0.08378712687585296,1.2824675324675325,0.27631578947368424,1.1682242990654206
25,29.2,303,2.4752475247524752,1.4991789819376027,0.11691041866143612,1.0033003300330032,0.2748091603053435,1.1682242990654206
26,30.4,298,2.38255033557047,1.437956204379562,0.1220782165566124,0.8053691275167785,0.28448275862068967,1.1682242990654206
27,31.5,293,2.2525597269624575,1.407258064516129,-0.03651003171203873,0.689419795221843,0.2,1.1682242990654206
28,32.7,288,2.1597222222222223,1.355056179775281,0.00031400493768931514,0.5486111111111112,0.19736842105263158,0.9345794392523363
