,c,N,avg_degree,avg_sht_path,assort,avg_betweeness,avg_clustering,S
0,0.0,428,5.481308411214953,9.527041776129963,0.2282961704369721,3632.5397196261692,0.22216547497446373,100.0
1,1.2,423,5.205673758865248,10.991318395941539,0.2856655876725332,3128.8179669030733,0.23525943396226415,85.04672897196261
2,2.3,418,4.909090909090909,12.694400260511253,0.2990089987026273,2233.770334928229,0.24135497529992944,65.42056074766354
3,3.5,413,4.668280871670702,14.735540087135059,0.20128283038174746,1992.3849878934625,0.22487223168654175,62.383177570093466
4,4.7,408,4.431372549019608,11.923112391930836,0.22523506274635427,696.75,0.22131147540983606,49.76635514018692
5,5.8,403,4.253101736972705,10.469911292256054,0.27211107524102945,392.0496277915633,0.2254335260115607,41.822429906542055
6,7.0,398,4.040201005025126,8.066306306306306,0.22287900010208533,197.0753768844221,0.21551724137931033,34.57943925233645
7,8.2,393,3.877862595419847,6.450920651741953,0.15878977488803242,104.70483460559797,0.20134228187919462,24.53271028037383
8,9.3,388,3.783505154639175,6.295136274657431,0.1813477927972138,90.63144329896907,0.20320855614973263,22.429906542056074
9,10.5,383,3.7075718015665795,5.737640549705515,0.18535215787023032,69.30809399477806,0.20454545454545456,19.39252336448598
10,11.7,378,3.6031746031746033,4.90042006424512,0.19190950499670328,41.75925925925926,0.21338912133891214,9.813084112149532
11,12.9,373,3.53887399463807,4.74332264957265,0.19322725620756345,37.57372654155496,0.21475054229934923,6.5420560747663545
12,14.0,368,3.467391304347826,4.788299319727892,0.21524097228222233,37.83152173913044,0.21476510067114093,6.5420560747663545
13,15.2,363,3.3774104683195594,4.684867847807145,0.2177094345354702,34.950413223140494,0.20616113744075829,6.5420560747663545
14,16.4,358,3.3016759776536313,4.5456570155902005,0.22476998697688275,31.12849162011173,0.20300751879699247,6.5420560747663545
15,17.5,353,3.1841359773371103,4.527670074021854,0.25880295030529793,28.35127478753541,0.20718232044198895,5.373831775700935
16,18.7,348,3.1149425287356323,4.562009978617248,0.2796732143213647,28.721264367816094,0.18857142857142858,5.373831775700935
17,19.9,343,3.020408163265306,4.565498857578065,0.317488759980517,27.29737609329446,0.19090909090909092,5.373831775700935
18,21.0,338,2.964497041420118,4.61723602484472,0.3318069222697588,27.568047337278106,0.19811320754716982,5.373831775700935
