,c,N,avg_degree,avg_sht_path,assort,avg_betweeness,avg_clustering,S
0,0.0,428,5.481308411214953,9.527041776129963,0.2282961704369721,3632.5397196261692,0.22216547497446373,100.0
1,1.2,423,5.498817966903073,9.444677792502414,0.2282402316187556,3555.2293144208043,0.22319138019497178,98.83177570093457
2,2.3,418,5.521531100478469,9.39217238649272,0.22878969921162218,3499.5358851674646,0.22434244455905106,97.66355140186917
3,3.5,413,5.530266343825666,9.313629845553493,0.227054358298947,3425.215496368039,0.2235539343408025,96.49532710280374
4,4.7,408,5.529411764705882,9.286427470250999,0.22693754955822623,3372.5759803921574,0.22321899736147757,95.32710280373831
5,5.8,403,5.508684863523573,9.293149636433219,0.237035022366894,3333.8461538461543,0.21915584415584416,94.1588785046729
6,7.0,398,5.492462311557789,9.230134994675458,0.2462902273390131,3242.859296482412,0.21688741721854304,92.99065420560748
7,8.2,393,5.460559796437659,9.227659824967622,0.2553861724031802,3200.748091603054,0.2131979695431472,91.82242990654206
8,9.3,388,5.443298969072165,9.202710048925846,0.2596143248517498,3150.0309278350514,0.21046578493387005,90.65420560747664
9,10.5,383,5.430809399477806,9.187812573192069,0.26233004538514304,3103.373368146214,0.20738137082601055,89.48598130841121
10,11.7,378,5.417989417989418,9.178114456680884,0.2641261907734017,3058.809523809524,0.20560190703218117,88.3177570093458
11,12.9,373,5.383378016085791,9.164725336363702,0.27367096915292033,3004.9034852546915,0.20158827122785583,87.14953271028037
12,14.0,368,5.358695652173913,9.130788865019424,0.2746544139216914,2951.7635869565215,0.19751552795031055,85.98130841121495
13,15.2,363,5.338842975206612,9.090053175571464,0.2761412215554137,2904.4628099173547,0.19293820933165196,84.81308411214953
14,16.4,358,5.346368715083799,9.0543224253106,0.2760154820248066,2859.3519553072624,0.1914486279514997,83.64485981308411
15,17.5,353,5.342776203966006,9.06824638429752,0.27536429540207563,2831.977337110481,0.189453125,82.4766355140187
16,18.7,348,5.339080459770115,9.085478154294611,0.28048205681367905,2805.6609195402293,0.1824866310160428,81.30841121495327
17,19.9,343,5.3061224489795915,9.136420984433874,0.2870115338744631,2782.655976676384,0.17768595041322313,80.14018691588785
18,21.0,338,5.230769230769231,9.191535125454322,0.27806366414746925,2760.547337278106,0.16126656848306334,78.97196261682244
19,22.2,333,5.165165165165165,9.249457288613915,0.284475776435123,2738.8198198198193,0.14820717131474104,77.80373831775701
20,23.4,328,5.079268292682927,9.314816886700978,0.26091429828975043,2718.9451219512202,0.12998266897746968,76.63551401869158
21,24.5,323,4.9411764705882355,10.862777147472261,0.178292554808453,3175.8142414860677,0.09127789046653144,75.46728971962617
22,25.7,318,4.849056603773585,11.058888349710866,0.19529608975940643,3128.883647798742,0.07834602829162132,73.5981308411215
23,26.9,313,4.830670926517572,11.056424684640119,0.1682550083113789,3117.555910543131,0.0738255033557047,72.89719626168224
24,28.0,308,4.8311688311688314,11.086731672236558,0.1683689309877915,3096.6266233766232,0.06888633754305395,71.96261682242991
25,29.2,303,4.805280528052806,11.040926278058269,0.17826817783991272,3032.3597359735973,0.06413301662707839,70.7943925233645
26,30.4,298,4.778523489932886,11.001005581542493,0.1640033133027847,2970.298657718121,0.059186189889025895,69.62616822429906
27,31.5,293,4.764505119453925,11.008929823741175,0.17130219627124457,2922.6075085324237,0.05732484076433121,68.45794392523365
28,32.7,288,4.743055555555555,11.277221254355402,0.16856813253992267,2949.5625000000005,0.052,67.28971962616822
29,33.9,283,4.713780918727915,11.37078665764479,0.17058790353886605,2924.5618374558303,0.0453920220082531,66.1214953271028
30,35.0,278,4.705035971223022,11.297911851024596,0.17163367514962508,2852.521582733814,0.042134831460674156,64.95327102803739
31,36.2,273,4.717948717948718,11.230944300797242,0.15677850325983628,2782.81684981685,0.042432814710042434,63.78504672897196
32,37.4,268,4.731343283582089,11.197593493208117,0.15566451429765993,2722.7574626865676,0.04329004329004329,62.616822429906534
