,c,N,avg_degree,avg_sht_path,assort,avg_betweeness,avg_clustering,S
0,0.0,428,5.481308411214953,9.527041776129963,0.2282961704369721,3632.5397196261692,0.22216547497446373,100.0
1,1.2,423,5.423167848699763,9.526189887918061,0.21779458483963132,3589.546099290781,0.21348314606741572,98.83177570093457
2,2.3,418,5.382775119617225,9.537538314672004,0.22686802263834532,3551.636363636365,0.21061359867330018,97.66355140186917
3,3.5,413,5.322033898305085,9.606541129831516,0.22901928684803752,3469.3946731234873,0.2098976109215017,96.26168224299066
4,4.7,408,5.269607843137255,9.7823308502124,0.2439527201586236,3496.357843137256,0.21403508771929824,95.09345794392523
5,5.8,403,5.2109181141439205,9.748061917147751,0.2496231503293647,3421.7295285359814,0.21506024096385543,93.69158878504673
6,7.0,398,5.125628140703518,9.841649900777982,0.25088169149759393,3235.2663316582916,0.21049304677623262,90.42056074766354
7,8.2,393,5.0534351145038165,10.204375882234322,0.2684238878931124,3252.0254452926197,0.21160184574818722,89.25233644859813
8,9.3,388,5.010309278350515,10.230534328730721,0.26228060748378723,3240.845360824741,0.21356615177971794,88.3177570093458
9,10.5,383,4.903394255874674,10.514426324423429,0.2659555806892734,3089.2323759791116,0.2164073550212164,84.34579439252336
10,11.7,378,4.777777777777778,10.161847506266119,0.22982351551597338,2668.957671957671,0.20475460122699388,81.54205607476635
11,12.9,373,4.7399463806970505,10.224238576275042,0.23312803400086102,2609.643431635388,0.2053501180173092,79.90654205607477
12,14.0,368,4.619565217391305,9.602811950790862,0.2550065990580831,2048.451086956521,0.20534223706176963,73.36448598130842
13,15.2,363,4.550964187327824,9.629365060498728,0.2462999051710754,2000.0633608815426,0.19912663755458515,72.19626168224299
14,16.4,358,4.41340782122905,8.68209689001823,0.25827033130321364,1165.382681564246,0.1871345029239766,56.074766355140184
15,17.5,353,4.30028328611898,8.551186099439775,0.23606985428943061,977.5042492917847,0.19042663891779396,51.63551401869159
16,18.7,348,4.241379310344827,8.696611357793877,0.2278140652720716,946.3735632183908,0.19114470842332612,49.76635514018692
17,19.9,343,4.174927113702624,8.480527671204078,0.24215368746481053,829.9241982507289,0.18497757847533633,46.96261682242991
18,21.0,338,4.112426035502959,8.289195727857438,0.2345159317453086,730.94674556213,0.182548794489093,44.39252336448598
19,22.2,333,3.975975975975976,8.626072827264395,0.25702804487553915,549.6726726726725,0.1865482233502538,39.25233644859813
20,23.4,328,3.9390243902439024,8.510377605302171,0.25771116442937897,525.1310975609755,0.18701298701298702,38.55140186915888
21,24.5,323,3.9071207430340555,8.194629342573174,0.2664121301396038,488.5665634674922,0.19123505976095617,37.149532710280376
22,25.7,318,3.8553459119496853,8.232896652110625,0.2399322152733655,484.3993710691824,0.1777150916784203,36.68224299065421
23,26.9,313,3.801916932907348,8.101716669340606,0.22669594013576352,424.26517571884983,0.16792738275340394,33.64485981308411
24,28.0,308,3.727272727272727,7.7625479209672665,0.22620229343400844,372.2694805194805,0.16535433070866143,31.542056074766357
25,29.2,303,3.6765676567656764,7.960043921185872,0.20079005037776293,376.55445544554453,0.1646655231560892,31.074766355140188
26,30.4,298,3.6040268456375837,7.796169061003539,0.1986411255863627,328.6107382550336,0.1624548736462094,29.205607476635514
27,31.5,293,3.5631399317406145,7.833911258934258,0.1922366765721501,329.59044368600684,0.16574585635359115,28.971962616822427
28,32.7,288,3.4722222222222223,6.452861259777686,0.17686499880125267,137.96875,0.1700404858299595,19.158878504672895
29,33.9,283,3.4063604240282683,6.515221803421282,0.18005615601867522,134.4310954063604,0.17456896551724138,18.925233644859812
30,35.0,278,3.366906474820144,6.5098718914845515,0.16835310346695562,131.50359712230215,0.17841409691629956,18.69158878504673
31,36.2,273,3.347985347985348,6.4966526545228085,0.17873692579574518,129.32234432234432,0.17889908256880735,18.457943925233643
32,37.4,268,3.2761194029850746,6.489698368221526,0.18583128138531224,124.27611940298507,0.17518248175182483,17.990654205607477
33,38.6,263,3.209125475285171,6.643267723393137,0.18043541260204327,123.18631178707224,0.1760204081632653,17.523364485981308
34,39.7,258,3.2093023255813953,6.636147225782824,0.17510721578936972,119.2984496124031,0.17875647668393782,17.056074766355138
35,40.9,253,3.1541501976284585,4.578645548880393,0.17519580130822637,51.798418972332016,0.17403314917127072,12.850467289719624
36,42.1,248,3.032258064516129,3.512370670265407,0.1549139833977617,22.52016129032258,0.182370820668693,7.943925233644859
37,43.2,243,3.0123456790123457,3.427363184079602,0.13328451628126978,20.078189300411523,0.18808777429467086,7.943925233644859
38,44.4,238,2.991596638655462,3.3990536277602525,0.11216265639127095,19.172268907563026,0.1910828025477707,7.943925233644859
39,45.6,233,2.8583690987124464,3.030570652173913,0.08021815750156899,12.82832618025751,0.16091954022988506,6.074766355140187
40,46.7,228,2.8508771929824563,3.04864489228631,0.11532787258984896,12.929824561403509,0.16600790513833993,6.074766355140187
41,47.9,223,2.807174887892377,2.662581699346405,0.11204580221671459,9.125560538116591,0.1728395061728395,4.906542056074766
42,49.1,218,2.770642201834862,2.661045531197302,0.11337831290040054,9.036697247706423,0.17796610169491525,4.906542056074766
43,50.2,213,2.6291079812206575,2.494887525562372,0.0651318010710806,6.863849765258216,0.15306122448979592,4.906542056074766
44,51.4,208,2.548076923076923,2.477885652642934,0.07271602660959581,6.586538461538462,0.14516129032258066,4.906542056074766
45,52.6,203,2.4729064039408866,2.3463969658659924,0.043151211277085016,5.246305418719212,0.14545454545454545,4.205607476635514
