,c,N,avg_degree,avg_sht_path,assort,avg_betweeness,avg_clustering,S
0,0.0,428,5.481308411214953,9.527041776129963,0.2282961704369721,3632.5397196261692,0.22216547497446373,100.0
1,1.2,423,5.205673758865248,12.705869140405651,0.09741538696361465,4928.198581560284,0.1931166347992352,98.83177570093457
2,2.3,418,4.91866028708134,20.679138230572438,0.13233962310227643,6422.413875598086,0.2043906131718395,86.21495327102804
3,3.5,413,4.663438256658596,22.515952980688496,0.09249207365747232,3350.549636803874,0.21527138914443422,72.42990654205607
4,4.7,408,4.4754901960784315,13.501836840027932,0.1338340930717012,1009.2475490196078,0.20376175548589343,66.35514018691589
5,5.8,403,4.267990074441688,8.073923575838087,0.1491541030017987,224.62779156327542,0.19047619047619047,27.570093457943923
6,7.0,398,4.075376884422111,8.729080998374295,0.13019163880567677,203.07286432160805,0.18938307030129126,27.570093457943923
7,8.2,393,3.9083969465648853,7.5119359735062785,0.16626769403060743,120.08142493638677,0.19607843137254902,14.485981308411214
8,9.3,388,3.7938144329896906,7.621570619828712,0.14072506225395165,117.56701030927834,0.1844484629294756,14.485981308411214
9,10.5,383,3.6657963446475197,7.851043024771839,0.15174490688701434,109.7597911227154,0.17928286852589642,14.485981308411214
10,11.7,378,3.5291005291005293,5.789389067524116,0.15659021038302048,55.166666666666664,0.1662971175166297,13.317757009345794
11,12.9,373,3.3941018766756033,5.116680361544782,0.16733908092734875,40.29490616621984,0.15949367088607594,9.345794392523365
12,14.0,368,3.282608695652174,4.898661567877629,0.1502514548900074,33.244565217391305,0.14447592067988668,8.644859813084112
13,15.2,363,3.1955922865013773,4.954560868090878,0.15259820181215672,32.1267217630854,0.12111801242236025,8.644859813084112
14,16.4,358,3.089385474860335,4.576892744479495,0.1705273509756907,25.337988826815643,0.10380622837370242,7.710280373831775
15,17.5,353,3.002832861189802,4.0565947242206235,0.18979001178998006,18.053824362606232,0.11070110701107011,5.373831775700935
16,18.7,348,2.9080459770114944,4.122950819672131,0.20420882286557498,17.517241379310345,0.0995850622406639,5.373831775700935
17,19.9,343,2.8221574344023326,4.196256684491979,0.22256814845648595,17.425655976676385,0.10714285714285714,5.373831775700935
18,21.0,338,2.7455621301775146,4.245469522240527,0.2489711640276672,17.485207100591715,0.08450704225352113,5.373831775700935
19,22.2,333,2.6666666666666665,4.294151376146789,0.2757185569387013,17.25225225225225,0.06060606060606061,5.373831775700935
20,23.4,328,2.591463414634146,4.363744075829384,0.31999793069860843,17.3109756097561,0.06382978723404255,5.373831775700935
21,24.5,323,2.569659442724458,4.386634844868735,0.31271193181443,17.572755417956657,0.06417112299465241,5.373831775700935
22,25.7,318,2.4654088050314464,4.351573187414501,0.3237134336353323,15.40880503144654,0.07228915662650602,5.373831775700935
23,26.9,313,2.389776357827476,4.419943820224719,0.3514622681607467,15.559105431309904,0.075,5.373831775700935
24,28.0,308,2.2987012987012987,4.495535714285714,0.38810363348169846,15.253246753246753,0.07947019867549669,5.373831775700935
25,29.2,303,2.237623762376238,4.556990881458966,0.41228415094524207,15.448844884488448,0.0821917808219178,5.373831775700935
26,30.4,298,2.134228187919463,3.4825242718446603,0.3785104596202488,8.580536912751677,0.06923076923076923,3.9719626168224296
27,31.5,293,2.04778156996587,3.5388446215139444,0.4259004778381819,8.699658703071673,0.07142857142857142,3.9719626168224296
28,32.7,288,1.9583333333333333,3.1903669724770642,0.40392256880794203,6.631944444444445,0.05405405405405406,3.0373831775700935
29,33.9,283,1.8586572438162545,2.663780663780664,0.31683076958634715,4.074204946996466,0.03125,3.0373831775700935
30,35.0,278,1.7841726618705036,2.6773211567732114,0.25439498274443795,3.964028776978417,0.034482758620689655,3.0373831775700935
31,36.2,273,1.728937728937729,2.7107309486780715,0.24286034613334953,4.029304029304029,0.03488372093023256,3.0373831775700935
32,37.4,268,1.6865671641791045,2.7424,0.24376391874140824,4.063432835820896,0.03614457831325301,3.0373831775700935
33,38.6,263,1.6121673003802282,2.752136752136752,0.23338281449892898,3.897338403041825,0.0379746835443038,3.0373831775700935
34,39.7,258,1.550387596899225,2.7964601769911503,0.26356017496218764,3.934108527131783,0.039473684210526314,3.0373831775700935
35,40.9,253,1.4624505928853755,2.8131212723658052,0.28135458321904855,3.6047430830039526,0.04477611940298507,3.0373831775700935
36,42.1,248,1.3709677419354838,2.868817204301075,0.33719904088233854,3.504032258064516,0.04918032786885246,3.0373831775700935
37,43.2,243,1.2839506172839505,2.9430523917995446,0.37850977577505074,3.5102880658436213,0.05263157894736842,3.0373831775700935
38,44.4,238,1.184873949579832,3.024330900243309,0.3953683165976135,3.495798319327731,0.05660377358490566,3.0373831775700935
39,45.6,233,1.1416309012875536,3.0725,0.44431065837032235,3.5579399141630903,0.058823529411764705,3.0373831775700935
40,46.7,228,1.1666666666666667,3.0725,0.44431065837032235,3.6359649122807016,0.058823529411764705,3.0373831775700935
41,47.9,223,1.0852017937219731,3.122615803814714,0.39275918389811443,3.493273542600897,0.0625,3.0373831775700935
42,49.1,218,1.091743119266055,3.1342465753424658,0.38058232027775135,3.573394495412844,0.0625,3.0373831775700935
43,50.2,213,1.0985915492957747,3.1532033426183843,0.37333422898251234,3.6291079812206575,0.06382978723404255,3.0373831775700935
44,51.4,208,1.0961538461538463,2.9191616766467066,0.3592469170931354,3.081730769230769,0.06521739130434782,2.803738317757009
45,52.6,203,1.103448275862069,2.930722891566265,0.3456821082796863,3.1576354679802954,0.06521739130434782,2.803738317757009
46,53.7,198,1.0909090909090908,2.945161290322581,0.3332048231008955,3.0454545454545454,0.06976744186046512,2.803738317757009
47,54.9,193,1.0259067357512954,3.0072463768115942,0.31191223739275126,2.8704663212435233,0.08333333333333333,2.803738317757009
48,56.1,188,1.053191489361702,3.0072463768115942,0.31191223739275126,2.9468085106382977,0.08333333333333333,2.803738317757009
49,57.2,183,1.0382513661202186,2.761904761904762,0.2827930510329093,2.4262295081967213,0.08571428571428572,2.570093457943925
50,58.4,178,0.9887640449438202,2.8189300411522633,0.31851102863530306,2.4831460674157304,0.08823529411764706,2.570093457943925
51,59.6,173,0.9017341040462428,2.902325581395349,0.3271322874406037,2.3641618497109826,0.10344827586206896,2.570093457943925
52,60.7,168,0.8333333333333334,2.695187165775401,0.36424639819288707,1.8869047619047619,0.1111111111111111,2.336448598130841
53,61.9,163,0.8588957055214724,2.695187165775401,0.36424639819288707,1.9447852760736197,0.1111111111111111,2.336448598130841
54,63.1,158,0.8860759493670886,2.695187165775401,0.36424639819288707,2.0063291139240507,0.1111111111111111,2.336448598130841
55,64.3,153,0.8366013071895425,2.7597765363128492,0.43393264597022163,2.0588235294117645,0.11538461538461539,2.336448598130841
56,65.4,148,0.8648648648648649,2.7597765363128492,0.43393264597022163,2.1283783783783785,0.11538461538461539,2.336448598130841
57,66.6,143,0.7832167832167832,2.524137931034483,0.4855303805588614,1.5454545454545454,0.13043478260869565,2.102803738317757
58,67.8,138,0.782608695652174,2.5255474452554743,0.4567160739370943,1.5144927536231885,0.13636363636363635,2.102803738317757
